IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
8.210.163.4,443,true,HKG,Asia Pacific,Hong Kong,50,12.86
54.255.206.197,443,true,SIN,Asia Pacific,Singapore,87,2.52
94.74.99.205,443,true,HKG,Asia Pacific,Hong Kong,58,1.75
190.92.220.57,443,true,SIN,Asia Pacific,Singapore,91,1.28
15.235.192.13,443,true,SIN,Asia Pacific,Singapore,378,1.26
43.155.84.120,443,true,HKG,Asia Pacific,Hong Kong,48,1.25
154.21.202.24,443,true,HKG,Asia Pacific,Hong Kong,61,1.07
47.245.123.237,443,true,SIN,Asia Pacific,Singapore,76,1.04
47.245.126.205,443,true,SIN,Asia Pacific,Singapore,90,1.03
103.232.213.34,443,true,NRT,Asia Pacific,Tokyo,64,1.03
47.245.126.89,443,true,SIN,Asia Pacific,Singapore,89,1.03
47.245.123.72,443,true,SIN,Asia Pacific,Singapore,86,1.03
54.199.222.232,443,true,NRT,Asia Pacific,Tokyo,82,1.01
54.151.201.171,443,true,SIN,Asia Pacific,Singapore,90,1.01
54.249.135.43,443,true,NRT,Asia Pacific,Tokyo,56,1.01
140.245.98.169,443,true,SIN,Asia Pacific,Singapore,232,1.01
129.150.51.134,443,true,SIN,Asia Pacific,Singapore,79,1.01
54.248.121.219,443,true,NRT,Asia Pacific,Tokyo,53,1.00
139.180.154.158,443,true,SIN,Asia Pacific,Singapore,83,1.00
157.254.252.198,443,true,NRT,Asia Pacific,Tokyo,64,1.00
8.219.189.152,443,true,SIN,Asia Pacific,Singapore,90,1.00
54.255.160.157,443,true,SIN,Asia Pacific,Singapore,73,1.00
52.197.230.94,443,true,NRT,Asia Pacific,Tokyo,85,0.99
54.169.161.28,443,true,SIN,Asia Pacific,Singapore,79,0.99
188.64.108.9,443,true,SIN,Asia Pacific,Singapore,92,0.99
178.173.230.133,443,true,NRT,Asia Pacific,Tokyo,59,0.98
8.219.222.140,443,true,SIN,Asia Pacific,Singapore,92,0.98
82.152.163.227,443,true,HKG,Asia Pacific,Hong Kong,114,0.97
103.248.228.117,443,true,SIN,Asia Pacific,Singapore,1086,0.94
141.147.185.63,443,true,NRT,Asia Pacific,Tokyo,82,0.94
138.3.211.178,443,true,NRT,Asia Pacific,Tokyo,90,0.94
202.144.195.204,443,true,NRT,Asia Pacific,Tokyo,82,0.93
8.222.195.20,443,true,SIN,Asia Pacific,Singapore,95,0.92
185.126.80.83,443,true,SIN,Asia Pacific,Singapore,151,0.92
131.186.33.175,443,true,NRT,Asia Pacific,Tokyo,71,0.92
185.39.31.39,443,true,NRT,Asia Pacific,Tokyo,131,0.91
140.238.60.225,443,true,NRT,Asia Pacific,Tokyo,76,0.91
52.141.25.42,443,true,ICN,Asia Pacific,Seoul,95,0.91
138.3.210.24,443,true,NRT,Asia Pacific,Tokyo,79,0.89
155.248.181.189,443,true,NRT,Asia Pacific,Tokyo,82,0.89
